year,state,Auto,Bus,Truck,Motorcycle
1994,Alabama,1927234,8401,1240925,39186
1994,Alaska,231587,1935,299974,12553
1994,Arizona,1687113,4444,1121905,68492
1994,Arkansas,862768,5585,698485,14374
1994,California,14504566,42261,7792048,554727
1994,Colorado,1585622,5571,1158665,96483
1994,Connecticut,1973916,8375,617198,48591
1994,Delaware,388753,2176,187107,9140
1994,District of Columbia,214690,2792,31313,1727
1994,Florida,7086485,39564,3125761,182898
1994,Georgia,3725652,15062,2248988,57529
1994,Hawaii,518569,4305,256001,12444
1994,Idaho,489624,3410,541695,33174
1994,Illinois,6190368,16305,2491181,188553
1994,Indiana,3074328,23581,1790726,97465
1994,Iowa,1669722,9269,1086887,115358
1994,Kansas,1190556,3779,888622,44953
1994,Kentucky,1612156,11788,1041761,33995
1994,Louisiana,1995859,20347,1410258,35790
1994,Maine,567897,2810,375037,25690
1994,Maryland,2591099,11216,1038022,38998
1994,Massachusetts,3057686,10414,958704,65983
1994,Michigan,4967347,23940,2582306,114396
1994,Minnesota,2550247,16840,1490328,130043
1994,Mississippi,1221038,9334,832595,28527
1994,Missouri,2587720,12167,1608043,56805
1994,Montana,439358,3049,507118,21517
1994,Nebraska,819124,5770,632690,21072
1994,Nevada,571055,1727,411914,20610
1994,New Hampshire,646432,1729,343654,33338
1994,New Jersey,4423973,19423,1395813,87267
1994,New Mexico,735822,3402,683216,31105
1994,New York,7677546,43333,2475287,176541
1994,North Carolina,3398511,34113,2010096,64264
1994,North Dakota,340345,2409,341886,17560
1994,Ohio,6668209,32279,2963239,224339
1994,Oklahoma,1516752,14406,1274592,56331
1994,Oregon,1536232,10938,1205399,61926
1994,Pennsylvania,5970382,33466,2478539,169541
1994,Rhode Island,530783,1643,166667,16979
1994,South Carolina,1760073,14705,968035,34333
1994,South Dakota,409263,2564,357559,25850
1994,Tennessee,3203106,16455,1839092,57653
1994,Texas,7809932,68468,5747465,146948
1994,Utah,796877,866,616925,23169
1994,Vermont,297828,1874,189734,17932
1994,Virginia,3654524,16266,1836270,58696
1994,Washington,2656823,7652,1800594,97752
1994,West Virginia,837327,3500,621501,16988
1994,Wisconsin,2483747,12296,1429745,150400
1994,Wyoming,226843,2419,279908,16570
1995,Alabama,2118372,8451,1426012,37926
1995,Alaska,233859,2008,306319,12917
1995,Arizona,1687961,4429,1180935,69170
1995,Arkansas,870016,5660,737523,17217
1995,California,14297486,42899,8091364,532053
1995,Colorado,1593928,5609,1212253,88120
1995,Connecticut,1971602,8749,641905,48965
1995,Delaware,392908,2134,196866,9168
1995,District of Columbia,208470,2717,31508,1623
1995,Florida,7097499,40264,3231632,190112
1995,Georgia,3759976,15551,2344670,72318
1995,Hawaii,523456,4383,274287,13209
1995,Idaho,490433,3361,549280,33489
1995,Illinois,6406116,16428,2550465,184216
1995,Indiana,3141995,24290,1905677,96394
1995,Iowa,1670671,9402,1133945,111503
1995,Kansas,1168385,3779,912344,43120
1995,Kentucky,1570080,11627,1049689,32996
1995,Louisiana,1874182,20345,1391054,36776
1995,Maine,574069,2776,390000,25972
1995,Maryland,2571508,11225,1071466,38833
1995,Massachusetts,3398334,10926,1092709,74243
1995,Michigan,4957127,24249,2692714,127902
1995,Minnesota,2398697,15652,1467480,117891
1995,Mississippi,1246128,9684,887741,29636
1995,Missouri,2562604,12256,1680163,54939
1995,Montana,441311,2994,524163,20930
1995,Nebraska,807041,5795,653799,18951
1995,Nevada,598911,1744,446571,21672
1995,New Hampshire,727410,1763,392855,49445
1995,New Jersey,4433631,19614,1453071,88634
1995,New Mexico,763180,3435,717112,31180
1995,New York,7645540,45776,2582720,169679
1995,North Carolina,3517585,35323,2129347,67207
1995,North Dakota,344363,2176,348136,16894
1995,Ohio,6673172,32815,3104283,218502
1995,Oklahoma,1517255,14786,1324038,55480
1995,Oregon,1529126,11542,1244304,61236
1995,Pennsylvania,5882488,33874,2564164,171335
1995,Rhode Island,524520,1691,172999,16979
1995,South Carolina,1812178,14988,1006165,34570
1995,South Dakota,367490,2563,338560,25184
1995,Tennessee,3350167,17106,2033020,70058
1995,Texas,7690781,71776,5919178,130117
1995,Utah,805609,1206,640051,22171
1995,Vermont,294612,1889,195758,18113
1995,Virginia,3679429,17235,1916469,58199
1995,Washington,2636785,7682,1858311,95795
1995,West Virginia,805421,3492,616296,18494
1995,Wisconsin,2488473,12916,1491939,168937
1995,Wyoming,264435,2468,334433,16559
1996,Alabama,1761297,8514,1636905,36706
1996,Alaska,228477,2034,307915,13122
1996,Arizona,1765844,4403,1241420,71873
1996,Arkansas,862334,5736,758482,16490
1996,California,15398720,43726,8948984,526048
1996,Colorado,1900913,5686,1531509,94217
1996,Connecticut,1941328,9069,669823,48328
1996,Delaware,398155,2092,205354,9985
1996,District of Columbia,199722,2672,35787,1600.14
1996,Florida,7285563,41161,3440485,203334
1996,Georgia,3840559,16086,2502728,73492
