Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1994,157.1,159.8,160.3,159.2,158.8,159.5,160.4,161.8,160.9,160.7,160,159.7,159.9,159.1,160.6
1995,160.9,161.5,162,162.4,162.8,163.9,165,165,164.1,164.2,164.4,164.6,163.4,162.3,164.6
1996,166.6,166.9,167.4,166.4,166.7,167.4,168.4,168.9,168.3,168.2,168.2,168.9,167.7,166.9,168.5
1997,169.8,170.9,171.2,170.5,170.2,171.3,172.5,172.7,172.5,172.6,172.7,173.4,171.7,170.7,172.7
1998,174,174.5,174.9,174.7,174.8,176.1,176.8,177.1,176.8,177.1,177.2,177.3,175.9,174.8,177.1
1999,177.7,178.4,178.3,178.5,178.4,179.7,180.4,180.4,180.6,180.5,181.2,181,179.6,178.5,180.7
2000,182.9,184.8,184.9,184.2,183.9,185.8,187.5,186.8,187.8,187.7,188.5,188.4,186.1,184.4,187.8
2001,189.7,189.8,191.3,191.6,191.5,193.7,194.3,194.6,193.7,193.1,194.1,194.3,192.6,191.3,194
2002,196.4,197.6,199.2,199.2,198.7,200.1,200.8,201.9,201.1,201.9,201,200.8,199.9,198.5,201.3
2003,204.6,205.4,207.6,206.7,207.2,207.9,208.8,210.3,208.7,209.9,209.5,209.8,208,206.6,209.5
2004,211.9,212.4,214.6,216.2,215.6,218.4,218.5,219,218.2,219.3,218.4,218.4,216.7,214.9,218.6
2005,221.4,222.1,228.5,227.4,224.4,224.9,227.2,227.9,226.6,230.1,229.3,228.5,226.5,224.8,228.3
2006,230.6,230.9,233.4,236,237.8,240.6,242.1,243.1,241.4,239.9,239.7,240.8,238,234.9,241.2
2007,241.419,242.692,244.042,244.436,245.293,248.228,249.798,249.191,247.319,246.949,247.906,247.786,246.255,244.352,248.158
2008,248.563,250.328,252.586,252.2,253.161,257.051,259.706,260.568,258.439,257.047,254.912,255.615,255.015,252.315,257.715
2009,256.339,256.561,257.491,257.062,256.573,257.537,258.912,258.755,256.97,256.273,256.464,256.523,257.122,256.927,257.316
2010,257.261,257.077,257.82,257.869,258.555,259.514,260.421,259.997,258.871,258.468,258.216,258.702,258.564,258.016,259.113
2011,259.081,259.198,259.985,260.194,261.585,263.038,264.345,264.07,263.675,262.854,262.528,261.61,261.847,260.514,263.18
2012,262.677,262.504,263.648,263.31,264.114,265.684,265.403,266.008,266.552,265.971,266.862,267.015,264.979,263.656,266.302
2013,268.881,269.26,269.193,268.403,269.517,270.574,271.114,271.752,272.914,271.244,271.864,272.862,270.632,269.305,271.958
2014,277.625,275.507,276.078,275.77,277.037,277.24,277.203,277.613,276.841,276.521,275.897,275.669,276.583,276.543,276.624
2015,277.285,278.464,277.589,277.917,278.276,279.665,279.811,279.988,281.295,280.808,280.746,280.056,279.325,278.199,280.451
2016,280.378,280.952,282.322,282.662,283.325,285.09,285.748,286.282,286.331,286.51,287.452,288.586,284.637,282.455,286.818
2017,289.262,289.614,289.62,289.908,290.95,292.15,292.019,292.898,292.867,292.432,292.699,293.988,291.534,290.251,292.817
2018,294.441,295.424,296.511,296.698,297.999,298.099,298.964,298.629,299.187,299.024,298.697,299.249,297.744,296.529,298.958
2019,301.14,301.233,301.791,302.413,302.192,303.608,303.892,303.603,304.799,303.491,304.498,305.331,303.166,302.063,304.269
2020,307.061,307.21,307.537,306.467,306.606,308.68,308.945,308.825,309.494,308.123,308.787,309.952,308.141,307.26,309.021
2021,310.692,311.974,310.552,312.728,313.864,316.315,316.16,316.056,317.057,316.451,317.081,316.425,314.613,312.688,316.538
2022,321.255,319.66,323.204,325.428,327.419,329.507,328.877,331.064,332.46,333.699,336.047,338.008,328.886,324.412,333.359
2023,340.465,340.527,340.091,340.02,341.008,343.387,344.88,347.12,349.028,348.558,350.578,351.718,344.782,340.916,348.647
2024,355.317,355.982,357.462,358.151,361.04,364.817,366.526,367.469,369.156,370.386,371.019,372.852,364.181,358.795,369.568
